date	open	high	low	close	volume
2021/03/02	921.0	921.0	910.2	914.6	914.6	6,816,100
2021/03/01	911.8	913.9	905.2	912.3	912.3	7,250,000
2021/02/26	916.0	925.7	908.4	910.6	910.6	11,969,500
2021/02/25	917.0	922.0	909.5	919.9	919.9	8,106,400
2021/02/24	909.8	912.8	904.1	907.1	907.1	7,942,000
2021/02/22	902.2	907.9	899.1	900.0	900.0	5,241,900
2021/02/19	895.8	897.9	886.0	887.2	887.2	9,473,400
2021/02/18	920.0	920.0	900.6	901.0	901.0	7,714,700
2021/02/17	910.8	916.7	907.7	915.5	915.5	7,416,600
2021/02/16	909.8	912.1	896.6	904.2	904.2	8,382,900
2021/02/15	920.0	920.0	902.7	905.3	905.3	9,320,900
2021/02/12	882.0	900.0	881.1	899.7	899.7	9,200,000
2021/02/10	882.9	886.2	876.3	878.8	878.8	7,362,000
2021/02/09	885.5	893.0	878.1	882.9	882.9	8,036,700
2021/02/08	871.5	886.8	871.5	882.4	882.4	8,195,700
2021/02/05	864.6	867.5	854.2	864.5	864.5	6,234,500
2021/02/04	852.0	855.0	849.5	850.0	850.0	4,891,800
2021/02/03	842.8	852.0	840.3	852.0	852.0	4,191,500
2021/02/02	835.7	841.0	834.0	837.3	837.3	3,815,200
2021/02/01	834.6	841.2	832.0	838.3	838.3	4,578,800
2021/01/29	850.1	853.4	831.7	831.9	831.9	8,535,700
2021/01/28	842.8	853.2	842.2	847.6	847.6	18,483,400
2021/01/27	847.4	866.6	844.1	863.8	863.8	9,872,400
2021/01/26	838.9	839.4	831.6	836.0	836.0	6,011,100
2021/01/25	834.8	838.8	831.3	835.8	835.8	4,934,900
2021/01/22	836.0	838.7	830.3	831.5	831.5	5,902,200
2021/01/21	854.8	856.9	844.1	844.5	844.5	5,620,400
2021/01/20	854.5	856.7	843.5	847.3	847.3	6,696,500
2021/01/19	858.8	863.4	854.8	856.6	856.6	4,156,500
2021/01/18	864.8	866.9	853.0	855.3	855.3	5,533,100
2021/01/15	878.8	881.5	872.3	872.4	872.4	7,884,300
2021/01/14	860.0	879.5	859.1	870.2	870.2	9,008,000
2021/01/13	845.9	856.8	841.7	856.7	856.7	7,116,200
2021/01/12	847.0	849.0	837.5	845.8	845.8	7,095,900
2021/01/08	832.7	846.4	832.3	846.0	846.0	9,597,100
2021/01/07	825.0	841.9	824.9	830.7	830.7	11,513,000
2021/01/06	795.5	809.0	793.8	807.0	807.0	6,155,900
2021/01/05	795.8	800.1	793.6	795.2	795.2	4,722,100
2021/01/04	810.0	811.8	793.4	801.6	801.6	4,044,000
2020/12/30	804.6	809.2	798.8	802.8	802.8	4,859,600
2020/12/29	790.0	804.0	787.5	804.0	804.0	5,659,500
2020/12/28	789.9	791.9	787.1	791.5	791.5	6,345,700
2020/12/25	791.6	794.7	787.7	792.0	792.0	3,978,000
2020/12/24	791.3	795.5	786.1	788.6	788.6	4,172,300
2020/12/23	792.4	794.9	782.1	785.9	785.9	5,528,800
2020/12/22	795.8	803.5	791.8	795.7	795.7	6,171,500
2020/12/21	815.0	815.5	798.4	802.1	802.1	7,939,100
2020/12/18	806.8	812.9	800.7	810.5	810.5	8,749,800
2020/12/17	793.1	816.3	792.1	807.8	807.8	11,826,700
2020/12/16	778.9	784.5	777.0	779.9	779.9	5,625,600
2020/12/15	774.4	777.0	770.2	772.9	772.9	6,153,800
2020/12/14	772.0	780.6	770.8	774.5	774.5	6,237,200
2020/12/11	770.0	771.0	762.0	764.9	764.9	9,842,100
2020/12/10	773.3	780.2	770.0	770.0	770.0	6,315,100
2020/12/09	773.0	781.7	773.0	780.2	780.2	5,056,800
2020/12/08	778.8	783.0	772.9	773.6	773.6	6,043,700
2020/12/07	789.7	792.5	777.7	778.9	778.9	4,807,500
2020/12/04	779.1	785.7	774.1	784.3	784.3	5,274,600
2020/12/03	777.4	780.1	772.8	776.4	776.4	5,629,500
2020/12/02	770.4	777.7	767.2	775.5	775.5	7,557,700
2020/12/01	776.6	788.0	769.5	771.7	771.7	7,441,400
2020/11/30	787.9	788.4	764.4	772.7	772.7	12,215,200
2020/11/27	792.6	799.9	790.2	792.8	792.8	5,575,000
2020/11/26	798.6	802.3	788.7	798.4	798.4	8,553,400
2020/11/25	829.5	831.2	803.7	806.7	806.7	10,406,000
2020/11/24	837.0	839.3	818.8	819.2	819.2	7,148,600
2020/11/20	821.7	828.7	819.0	824.0	824.0	4,490,200
2020/11/19	814.9	824.3	812.0	824.3	824.3	5,643,300
2020/11/18	825.6	830.0	815.5	823.7	823.7	6,451,200
